exchange,exchange_token,expiry,instrument_token,instrument_type,last_price,lot_size,name,segment,strike,tick_size,tradingsymbol
NSE,1020,,261129,EQ,0.0,0,NIFTY REALTY,INDICES,0.0,0.0,NIFTY REALTY
NSE,1027,,262921,EQ,0.0,0,NIFTY PSU BANK,NSE-INDICES,0.0,0.0,NIFTY PSU BANK
NSE,1027,,262921,EQ,0.0,0,NIFTY PSU BANK,INDICES,0.0,0.0,NIFTY PSU BANK
NSE,1016,,260105,EQ,0.0,0,NIFTY BANK,NSE-INDICES,0.0,0.0,NIFTY BANK
NSE,1016,,260105,EQ,0.0,0,NIFTY BANK,INDICES,0.0,0.0,NIFTY BANK
NSE,1015,,259849,EQ,0.0,0,NIFTY IT,NSE-INDICES,0.0,0.0,NIFTY IT
NSE,1015,,259849,EQ,0.0,0,NIFTY IT,INDICES,0.0,0.0,NIFTY IT
NSE,1012,,259081,EQ,0.0,0,NIFTY50 PR 1X INV,NSE-INDICES,0.0,0.0,NIFTY50 PR 1X INV
NSE,1012,,259081,EQ,0.0,0,NIFTY50 PR 1X INV,INDICES,0.0,0.0,NIFTY50 PR 1X INV
NSE,1011,,258825,EQ,0.0,0,NIFTY50 PR 2X LEV,NSE-INDICES,0.0,0.0,NIFTY50 PR 2X LEV
NSE,1011,,258825,EQ,0.0,0,NIFTY50 PR 2X LEV,INDICES,0.0,0.0,NIFTY50 PR 2X LEV
NSE,1001,,256265,EQ,0.0,0,NIFTY 50,NSE-INDICES,0.0,0.0,NIFTY 50
NSE,1001,,256265,EQ,0.0,0,NIFTY 50,INDICES,0.0,0.0,NIFTY 50
NSE,1029,,263433,EQ,0.0,0,NIFTY AUTO,NSE-INDICES,0.0,0.0,NIFTY AUTO
NSE,1029,,263433,EQ,0.0,0,NIFTY AUTO,INDICES,0.0,0.0,NIFTY AUTO
NSE,1018,,260617,EQ,0.0,0,NIFTY 100,NSE-INDICES,0.0,0.0,NIFTY 100
NSE,1018,,260617,EQ,0.0,0,NIFTY 100,INDICES,0.0,0.0,NIFTY 100
NSE,1013,,259337,EQ,0.0,0,NIFTY50 TR 2X LEV,NSE-INDICES,0.0,0.0,NIFTY50 TR 2X LEV
NSE,1013,,259337,EQ,0.0,0,NIFTY50 TR 2X LEV,INDICES,0.0,0.0,NIFTY50 TR 2X LEV
NSE,1004,,257033,EQ,0.0,0,NIFTY DIV OPPS 50,NSE-INDICES,0.0,0.0,NIFTY DIV OPPS 50
NSE,1004,,257033,EQ,0.0,0,NIFTY DIV OPPS 50,INDICES,0.0,0.0,NIFTY DIV OPPS 50
NSE,1006,,257545,EQ,0.0,0,NIFTY CONSUMPTION,NSE-INDICES,0.0,0.0,NIFTY CONSUMPTION
NSE,1006,,257545,EQ,0.0,0,NIFTY CONSUMPTION,INDICES,0.0,0.0,NIFTY CONSUMPTION
NSE,1030,,263689,EQ,0.0,0,NIFTY METAL,NSE-INDICES,0.0,0.0,NIFTY METAL
NSE,1030,,263689,EQ,0.0,0,NIFTY METAL,INDICES,0.0,0.0,NIFTY METAL
NSE,1017,,260361,EQ,0.0,0,NIFTY JUNIOR,NSE-INDICES,0.0,0.0,NIFTY JUNIOR
NSE,1017,,260361,EQ,0.0,0,NIFTY JUNIOR,INDICES,0.0,0.0,NIFTY JUNIOR
NSE,1003,,256777,EQ,0.0,0,NIFTY MIDCAP 100,NSE-INDICES,0.0,0.0,NIFTY MIDCAP 100
NSE,1003,,256777,EQ,0.0,0,NIFTY MIDCAP 100,INDICES,0.0,0.0,NIFTY MIDCAP 100
NSE,1037,,265481,EQ,0.0,0,NV20,NSE-INDICES,0.0,0.0,NV20
NSE,1037,,265481,EQ,0.0,0,NV20,INDICES,0.0,0.0,NV20
NSE,1022,,261641,EQ,0.0,0,NIFTY ENERGY,NSE-INDICES,0.0,0.0,NIFTY ENERGY
NSE,1022,,261641,EQ,0.0,0,NIFTY ENERGY,INDICES,0.0,0.0,NIFTY ENERGY
NSE,1019,,260873,EQ,0.0,0,NIFTY MIDCAP 50,NSE-INDICES,0.0,0.0,NIFTY MIDCAP 50
NSE,1019,,260873,EQ,0.0,0,NIFTY MIDCAP 50,INDICES,0.0,0.0,NIFTY MIDCAP 50
NSE,1035,,264969,EQ,0.0,0,INDIA VIX,NSE-INDICES,0.0,0.0,INDIA VIX
NSE,1035,,264969,EQ,0.0,0,INDIA VIX,INDICES,0.0,0.0,INDIA VIX
NSE,1026,,262665,EQ,0.0,0,NIFTY PSE,NSE-INDICES,0.0,0.0,NIFTY PSE
NSE,1026,,262665,EQ,0.0,0,NIFTY PSE,INDICES,0.0,0.0,NIFTY PSE
NSE,1028,,263177,EQ,0.0,0,NIFTY SERV SECTOR,NSE-INDICES,0.0,0.0,NIFTY SERV SECTOR
NSE,1028,,263177,EQ,0.0,0,NIFTY SERV SECTOR,INDICES,0.0,0.0,NIFTY SERV SECTOR
NSE,1008,,258057,EQ,0.0,0,LIX 15,NSE-INDICES,0.0,0.0,LIX 15
NSE,1008,,258057,EQ,0.0,0,LIX 15,INDICES,0.0,0.0,LIX 15
NSE,1009,,258313,EQ,0.0,0,CPSE INDEX,NSE-INDICES,0.0,0.0,CPSE INDEX
NSE,1009,,258313,EQ,0.0,0,CPSE INDEX,INDICES,0.0,0.0,CPSE INDEX
NSE,1023,,261897,EQ,0.0,0,NIFTY FMCG,NSE-INDICES,0.0,0.0,NIFTY FMCG
NSE,1023,,261897,EQ,0.0,0,NIFTY FMCG,INDICES,0.0,0.0,NIFTY FMCG
NSE,1010,,258569,EQ,0.0,0,NI15,NSE-INDICES,0.0,0.0,NI15
NSE,1010,,258569,EQ,0.0,0,NI15,INDICES,0.0,0.0,NI15
NSE,9154,,2343425,EQ,0.0,1,,NSE,0.0,0.01,ICFL-N5
NSE,3353,,858369,EQ,0.0,1,,NSE,0.0,0.01,DHFL-NS
NSE,9212,,2358273,EQ,0.0,1,,NSE,0.0,0.01,L&TFINANCE-NB
NSE,9165,,2346241,EQ,0.0,1,,NSE,0.0,0.01,ICFL-N8
NSE,1906,,487937,EQ,0.0,1,,NSE,0.0,0.05,TATASTEEL-E1
NSE,2755,,705281,EQ,0.0,1,,NSE,0.0,0.05,PSL
NSE,8885,,2274561,EQ,0.0,1,,NSE,0.0,0.05,OISL-BZ
NSE,14296,,3659777,EQ,0.0,1,,NSE,0.0,0.05,SEQUENT
NSE,13751,,3520257,EQ,0.0,1,INFO EDGE (I),NSE,0.0,0.05,NAUKRI
NSE,11403,,2919169,EQ,0.0,1,MAGMA FINCORP,NSE,0.0,0.05,MAGMA
NSE,1497,,383233,EQ,0.0,1,,NSE,0.0,0.05,SHIVAMILLS
NSE,17635,,4514561,EQ,0.0,1,ZYDUS WELLNESS,NSE,0.0,0.05,ZYDUSWELL
NSE,3827,,979713,EQ,0.0,1,ZUARI GLOBAL,NSE,0.0,0.05,ZUARIGLOB
NSE,29050,,7436801,EQ,0.0,1,ZUARI AGRO CHEMICALS,NSE,0.0,0.05,ZUARI
NSE,3824,,978945,EQ,0.0,1,ZODIAC JRD-MKJ,NSE,0.0,0.05,ZODJRDMKJ
NSE,7873,,2015489,EQ,0.0,1,,NSE,0.0,0.05,ZODIACLOTH-BE
NSE,602,,154113,EQ,0.0,2000,ZODIAC ENERGY,NSE,0.0,0.05,ZODIAC-SM
NSE,13394,,3428865,EQ,0.0,1,,NSE,0.0,0.05,ZICOM-BE
NSE,7508,,1922049,EQ,0.0,1,ZEN TECHNOLOGIES,NSE,0.0,0.05,ZENTEC
NSE,1076,,275457,EQ,0.0,1,ZENSAR TECHNOLOGIES ,NSE,0.0,0.05,ZENSARTECH
NSE,4176,,1069057,EQ,0.0,1,,NSE,0.0,0.05,ZENITHEXPO
NSE,14566,,3728897,EQ,0.0,1,ZENITH BIRLA (INDIA),NSE,0.0,0.05,ZENITHBIR-BE
NSE,14003,,3584769,EQ,0.0,1,ZEE MEDIA CORPORATION,NSE,0.0,0.05,ZEEMEDIA
NSE,20852,,5338113,EQ,0.0,1,ZEE LEARN,NSE,0.0,0.05,ZEELEARN
NSE,16734,,4283905,EQ,0.0,1,ZEE ENTERTAINMENT ENT,NSE,0.0,0.05,ZEEL-P2
NSE,3812,,975873,EQ,0.0,1,ZEE ENTERTAINMENT ENT,NSE,0.0,0.05,ZEEL
NSE,11915,,3050241,EQ,0.0,1,YES BANK,NSE,0.0,0.05,YESBANK
NSE,11407,,2920193,EQ,0.0,1,XPRO INDIA,NSE,0.0,0.05,XPROINDIA
NSE,13914,,3561985,EQ,0.0,1,,NSE,0.0,0.05,XLENERGY-BE
NSE,8477,,2170113,EQ,0.0,1,,NSE,0.0,0.05,XELPMOC
NSE,11705,,2996481,EQ,0.0,1,XCHANGING SOLUTIONS,NSE,0.0,0.05,XCHANGING
NSE,3799,,972545,EQ,0.0,1,WEST COAST PAPER MILLS LT,NSE,0.0,0.05,WSTCSTPAPR
NSE,14832,,3796993,EQ,0.0,1,,NSE,0.0,0.05,WSI-BE
NSE,21763,,5571329,EQ,0.0,1500,WORTH PERIPHERALS,NSE,0.0,0.05,WORTH-SM
NSE,3002,,768513,EQ,0.0,1,WONDERLA HOLIDAYS,NSE,0.0,0.05,WONDERLA
NSE,7506,,1921537,EQ,0.0,1,WOCKHARDT,NSE,0.0,0.05,WOCKPHARMA
NSE,3787,,969473,EQ,0.0,1,WIPRO,NSE,0.0,0.05,WIPRO
NSE,20491,,5245697,EQ,0.0,1,THE WESTERN INDIA PLY,NSE,0.0,0.05,WIPL-BE
NSE,25045,,6411521,EQ,0.0,1,,NSE,0.0,0.05,WINSOME-BE
NSE,24969,,6392065,EQ,0.0,1,WINDSOR MACHINES,NSE,0.0,0.05,WINDMACHIN
NSE,3772,,965633,EQ,0.0,1,,NSE,0.0,0.05,WILLAMAGOR
NSE,18011,,4610817,EQ,0.0,1,WHIRLPOOL OF INDIA,NSE,0.0,0.05,WHIRLPOOL
